positive|||Up was real cute
positive|||@sonya_jonsgirl I had an almost perfect day and was getting sleepy. I decided to stay up and wait for a little Tweet from @jordanknight 
positive|||Everyone vote on http://bit.ly/G82V4  for Tim  He's winning already
positive|||I'm a 32 year old dyke at heart 
positive|||@LilianeRausch i'm sure i will  Thanks for the Tip 
positive|||@lovetease aw congrats to him 
positive|||my american apparel order came in the mail. 
positive|||Annnnnd I am up ! 
positive|||I love my new memory card - more music 4 ma phone 
positive|||singing at my hose with my brother... 
positive|||&quot;i may not know it but these are the moments im gonna remember most..&quot; you guys make it worth it goodnight. 
positive|||.. gonna sit in the garden and study for my exam now .. cya later my fellow twitters! 
positive|||Finally had a nice cab driver! Tipped him extra 
positive|||@decryption you might just love it soo much that you never come back 
positive|||@gray_knowlton thx!  I'm actually wore my openxmldeveloper.org shirt from ODC08 today to help me get into the presentationml zone.  
positive|||Late night documentaries and sleeping on the couch
positive|||@aliceholder jb are fitter  hahaha thats good cos we wont argue who gets one of them ;)
positive|||@divascancook that is a sign you should bake an appie pie instead 
positive|||workkking(= 
positive|||Note to self: Target is Always waaaaaay better than wal-mart. &amp; its closer to Bevmo. 
positive|||Krill - the most unique discovery of the decade? See yourself
positive|||@TysonDueck Ok.but ignore the wacko lighting and bad angle. I'm really cuter....   lol http://bit.ly/IHyn
positive|||Back in Van and its absolutely gorgeous out. 
positive|||k
positive|||@_FK_ pray tell #shush 
positive|||I still can't get over how awesome #theoffice looks in HD! It also helps that they're showing one of my fav eps of the season 
positive|||@Langwidere I started when I was much more into drawing and needed cheap sketchbooks  Now I make books and don't draw much 
positive|||@JCred yep 
positive|||@betsyweber thanks betsy 
positive|||Sorry - that should have been &quot;tug of war&quot;! Time to get ready 
positive|||@Timmy_Sabre cool i am real too good to see ya actually type in a tweet 
positive|||@adrianlynch there is also
positive|||@nikibrown there is too much crap out there
positive|||So now It's 51 day left (but if to count 8 of July too)... But I prefer number 50  Want to see you here faster Dear.
positive|||@michelv et miam le README de 900 lignes 
positive|||Gooo... move up by 2  89. sulumitsretsambew-id.com
positive|||@Huismus LOL!!! *drops from chair laughing* 
positive|||@augusten it's never wrong to tweet too much!! keep tweeting away! 
