126858698520932352	I wonder if I was to get at a celebrity's neck on #twitter . Will I be on the news or radio . #planForFame lmfao	O V P O V P V P D S N P ^ , V O V P D N & N , # !	neutral
126883448173510656	•Take Off Make up • Say A Little More On #twitter • Go to Sleep <3 like my plan ? ( ;	V P V T , V D A A P ^ , V P V E P D N , , ,	positive
126874389210861568	@Licia0321 Damn what the hell , I think my #Twitter might need a damn #Exorcist !!	@ ! O D N , O V D ^ V V D A N ,	negative
126861630695940096	@HOLLYcash mann u can have ah olelady but them hoes for everybody son I been doin dis u stop catchin feelings its #twitter	@ N O V V ! ^ & D N P N N O V V D O V V N L ^	neutral
126864131289661441	Somebody help me ? Is apple not on Twitter ? That seems very weird . #apple #twitter	N V O , V N R P ^ , O V R A , # #	neutral
126876760062181376	“ @RealJaythoven #twitter and #Facebook gone get sumbody beat up mane everybody b so reckless ”	, @ ^ & ^ V V N V T N N V R A ,	neutral
126874159606267904	Why everytime I spazz on #twitter yall think some chick done hurt my feelings .. I aint w/ Annette no more .. Lol	R R O V P ^ O V D N V V D N , O V P ^ R A , !	neutral
126874883207610368	@LOvely_MsToya relaxin , my mind ! And #twitter	@ V , D N , & #	neutral
126869939536674816	#Twitter honey i don't freaking know anymore ><"	^ N O V V V R E	neutral
126882971411165185	@ammmylewis ... Did @CarsonFratus just ditch Twitter for sleep ?? #Weirdo ... #Twitter > Sleep	@ , V @ R V ^ P N , # , # , N	positive
126862030979334144	RT @AmySimendinger : @rachiecrewz dude you can't just makeup your own fucking hashtags ... learn how to use #twitter	~ @ ~ @ N O V R N D N A N , V R P V ^	neutral
126871663299137536	im tired gonna get to bed peace out #twitter	L A V V P N N P ^	neutral
126883457614884864	Sneaky , sneaky . Seven ways to spy on your competition , using #Twitter - http://t.co/RxopvNGQ - via @ruhanirabin @AskAaronLee	A , A , $ N P V P D N , V ^ , U , P @ @	neutral
126883562652844033	#Twitter y #Facebook OFF	^ R ^ P	negative
126869134238679042	FUCK #facebook #twitter is way better #teamfollowback #followme	V ^ ^ V R R # #	positive
126869302887464960	#Twitter off ! See ya :D @justinbieber Love u and have #SweetDreams . ♥	^ T , V O E @ V O & V ^ , E	neutral
