"Topic","Sentiment","TweetId","TweetDate","TweetText"
"google","positive","126534770095169536","Wed Oct 19 05:46:54 +0000 2011","Took me months to decide, but tonight I have chosen #google over Amazon S3 for image storage solution."
"google","positive","126534201880219648","Wed Oct 19 05:44:39 +0000 2011","RT @spacecanard Today's the Day. ICS &lt;3 #android #google #samsung"
"google","positive","126534020367519744","Wed Oct 19 05:43:56 +0000 2011","The new Nexus looks good! UI feel a bit confusing but I guess Android users are ok with that! Now, try it :) #Google #android #nexusprime"
"google","positive","126533948925952000","Wed Oct 19 05:43:38 +0000 2011","Very nice trivia game by #Google. Helps you use their search better http://t.co/ikN087ZE"
"google","positive","126533885109600256","Wed Oct 19 05:43:23 +0000 2011","Very nice trivia game by #Google. Helps you use their search better http://t.co/c5Tu3dZK #fb"
"google","positive","126533562781544448","Wed Oct 19 05:42:06 +0000 2011","Cant build a website. Get a #Google website #Free ! http://t.co/7qUy4uOU"
"google","positive","126533349727666176","Wed Oct 19 05:41:16 +0000 2011","#Android ICS is looking pretty good. Not quite sure if its worth the 4.0 numbering leap. #google"
"google","positive","126533268119109632","Wed Oct 19 05:40:56 +0000 2011","@Tita_Ramos #Google it =)"
"google","positive","126533166352699392","Wed Oct 19 05:40:32 +0000 2011","RT @p1j Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/MTu7tGx7   #android #google #nexus #BigMAMA"
"google","positive","126532897715929088","Wed Oct 19 05:39:28 +0000 2011","Me too RT @MohamedG: Exciting day, It's Ice cream Sandwich day ;) #Google #Android"
"google","positive","126531552367751169","Wed Oct 19 05:34:07 +0000 2011","WOW the new #Google #Nexus is just beautiful. totally gonna boost google's market share in the smart phone market."
"google","positive","126531180907601920","Wed Oct 19 05:32:39 +0000 2011","hahaha integrated data usage manager... in sucha brilliant way, sleek design, superb and I'm only watching videos LOL #Google"
"google","positive","126530945976238080","Wed Oct 19 05:31:43 +0000 2011","I fancy an Ice Cream Sandwich #google #android. Wonder it will works on my HTC Desire?"
"google","positive","126530924576907264","Wed Oct 19 05:31:37 +0000 2011","Google Ice Cream Sandwich - sounds yummy!  What do you think? http://t.co/gMsgXcq8
#google #Android #ice cream sandwich"
"google","positive","126530807891374082","Wed Oct 19 05:31:10 +0000 2011","#Google Me!!!!!!!!"
"google","positive","126530189579649024","Wed Oct 19 05:28:42 +0000 2011","Exciting day, It's Ice cream Sandwich day ;) #Google #Android"
"google","positive","126530027939569665","Wed Oct 19 05:28:04 +0000 2011","Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/mSWX6Eo6   #android #google #nexus #BigMAMA"
"google","positive","126529770778411008","Wed Oct 19 05:27:02 +0000 2011","@Bla1ze I was referring to #Google & #Icecreamsandwich. It looks amazing. What imo android was missing. I ... http://t.co/rE4nLZgI"
"google","positive","126528982807089152","Wed Oct 19 05:23:54 +0000 2011","http://t.co/QV4m1Un9 Forget the phone.. Nice UI. Liking the Scroll Feature #android #google #nexus"
"google","positive","126528978239496194","Wed Oct 19 05:23:53 +0000 2011","Simply Amazing! http://t.co/9qmG3irA #Google #Samsung #Galaxy #Nexus #Prime #Android4 #IceCreamSandwich"
"google","positive","126528804192653312","Wed Oct 19 05:23:12 +0000 2011","#Google has finally unveiled the much awaited #Android OS Ice Cream Sandwich & it sure looks good! http://t.co/sNL38EM1"
"google","positive","126528264117293056","Wed Oct 19 05:21:03 +0000 2011","#google Finally!! All searches for logged in users will be on https! http://t.co/RaUeRrtF"
"google","positive","126526219587039233","Wed Oct 19 05:12:56 +0000 2011","#RIM should really take an in debt look at #Google's strategy... They released the #NDK for #Icecreamsandwich 3 HOURS after release. #ics"
"google","positive","126525469897146368","Wed Oct 19 05:09:57 +0000 2011","RT @vattam: Man! I've fallen in love with Galaxy Nexus! #google #samsung #galaxynexus #android"
"google","positive","126525368860540928","Wed Oct 19 05:09:33 +0000 2011","When in doubt... #Google it!!!"
